Name,Address,Location,Price,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,GreenStar,FacilitiesAndServices,Description
Odette,"National Gallery, #01-04, 1 St. Andrew's Road (entrance via Supreme Court wing's foyer), 178957, Singapore",Singapore,$$$$,"French Contemporary",103.8516,1.2896459,+6563850498,https://guide.michelin.com/en/singapore-region/singapore/restaurant/odette,http://www.odetterestaurant.com,"3 Stars",0,"Air conditioning,Car park,Interesting wine list,Restaurant offering vegetarian menus,Wheelchair access","Where better to find a priceless jewel of the Singapore dining scene than in The National Gallery? Chef Julien Royer and his highly accomplished kitchen make wonderful use of luxury ingredients of unimpeachable quality. Creative combinations, impeccable techniques and exquisite plating result in dishes that are as elegant as they are memorable. The understated and graceful room, overseen by a highly polished service team, provides the perfect backdrop."
"Les Amis","Shaw Centre, #01-16, 1 Scotts Road, 228208, Singapore",Singapore,$$$$,French,103.83204,1.30626,+6567332225,https://guide.michelin.com/en/singapore-region/singapore/restaurant/les-amis,https://www.lesamis.com.sg/,"3 Stars",0,"Air conditioning,Car park,Interesting wine list,Restaurant offering vegetarian menus,Valet parking,Wheelchair access","Haute cuisine is increasingly about the chef embracing creative freedom and dictating the whole experience. At the longstanding, singularly sophisticated and world-renowned Les Amis, the choice is yours. The prix-fixe menus present a wide range of modern French classics with occasional Asian twists, in which simple ingredient combinations and seasoning highlight the natural flavours. Consider booking the chef's table for an intimate experience."
"Hiša Franko","Staro selo 1, Kobarid, 5222, Slovenia","Kobarid, Slovenia","€€€€","Creative, Regional Cuisine",13.5382362,46.2472961,+38653894120,https://guide.michelin.com/en/gorizia/kobarid/restaurant/hisa-franko,https://www.hisafranko.com/,"3 Stars",1,"Air conditioning,Car park,Interesting wine list,Wheelchair access","Situated in the lush Soča valley with magnificent mountains as a backdrop, “Franko’s house” boasts a beautiful, welcoming, simple yet elegant ambience from the moment you enter the small room near the entrance where guests can enjoy an aperitif before their meal. Very few cuisines reflect the personality of the chef like that of Ana Roš Stojan. Her strong, determined, extrovert and contagiously friendly character is perfectly mirrored on a long tasting menu, on which dishes have intensive and decisive flavours with no half measures. Each course is a true discovery, in which local and Slovenian ingredients and traditions are skilfully combined with influences from elsewhere in the world with grace, good taste and the chef’s own inimitable style. Following on from the “50 shades of Life” menu (dedicated to the chef’s age), this year’s menu is entitled “50 shades of Red”, a colour which symbolises all the hard work at Hiša Franko, from the red of passion to the cuisine and the service of the brilliant and well-trained young staff. The wine-pairing choices are excellent, with three different options: one based on more classic wines, another which allows guests to explore natural wines and highly individual labels, and a third non-alcoholic option featuring home-made drinks. Among the house specialities which are nearly always present on the menu, don’t miss the corn beignet with fermented cottage cheese and smoked trout roe, and the hay-baked potatoes with fenugreek and roasted yeast-infused sour cream – the latter is a very simple dish that offers an interesting take on a childhood favourite. Should you decide to spend the night here, the copious and highly colourful breakfast is equally recommended."
"Frantzén","Klara Norra Kyrkogata 26, Stockholm, 111 22, Sweden","Stockholm, Sweden","€€€€","Modern Cuisine",18.0597575,59.3341673,+468208580,https://guide.michelin.com/en/stockholm-region/stockholm/restaurant/frantzen,https://www.restaurantfrantzen.com/,"3 Stars",0,"Air conditioning,Counter dining,Interesting wine list","World-renowned Chef Björn Frantzén provides a truly immersive experience that you won't forget in a hurry at his uber-stylish restaurant. Ring the bell to enter, before enjoying an aperitif in the top-floor lounge while the day's ingredients are explained, then head to the dining room with its beautiful counter seating to witness the exceptionally talented chefs at work as they craft creative, perfectly executed dishes. The service works like clockwork to enhance the experience."
noma,"Refshalevej 96, Copenhagen, 1432 K, Denmark","Copenhagen, Denmark","€€€€",Creative,12.6106175,55.6833118,+4532963297,https://guide.michelin.com/en/capital-region/copenhagen/restaurant/noma,https://noma.dk,"3 Stars",1,"Garden or park,Great view,Wheelchair access","This elegant yet relaxed waterside restaurant offers a unique experience, from the greenhouses at the entrance to the ingredients on the plate. The test kitchen is one of the most advanced in the world and offers a tasting menu of creative, complex dishes with vivid natural flavours. Professional, informal service puts guests at ease. Book well in advance."
"Jordnær","Gentoftegade 29, Gentofte, 2800, Denmark","Gentofte, Denmark","€€€€",Creative,12.5412347,55.7481416,+4522408020,https://guide.michelin.com/en/capital-region/gentofte_1373269/restaurant/jordnaer,http://www.restaurantjordnaer.dk/,"3 Stars",0,"Car park,Interesting wine list","Chef-Owner Eric Kragh Vildgaard is the driving force behind this remarkable dining experience, demonstrating enormous technical skill across his procession of bold and creative dishes, all founded on seafood and vegetable produce of the utmost quality. The cooking varies between the wisely restrained (the pure, precise hamachi, ponzu and wasabi) and the hyper-detailed (the stunningly plated, multi-layered chawanmushi). Tina oversees the charming service in this stylish and sophisticated oasis, which is expertly run at every turn."
Geranium,"Per Henrik Lings Allé, Parken National Stadium, Copenhagen, 2100 Ø, Denmark","Copenhagen, Denmark","€€€€","Creative, Contemporary",12.5725289,55.7040847,+4569960020,https://guide.michelin.com/en/capital-region/copenhagen/restaurant/geranium,https://www.geranium.dk/,"3 Stars",0,"Air conditioning,Car park,Great view,Interesting wine list,Restaurant offering vegetarian menus,Wheelchair access","Located on the 8th floor of the National Football Stadium, this luxurious restaurant boasts panoramic park views and provides a truly singular dining experience. The surprise, meat-free tasting menu comprises many beautifully presented dishes, each one as highly creative and impeccably precise as the last. First-rate ingredients and exceptional technique combine to create layers of flavour in every mouthful, and the poised, disarmingly hospitable service team are equally impressive."
RE-NAA,"Nordbøgata 8, Stavanger, 4006, Norway","Stavanger, Norway","€€€€","Creative, Seafood",5.7308447,58.9739705,+4751551111,https://guide.michelin.com/en/rogaland/stavanger/restaurant/re-naa,https://www.restaurantrenaa.no/,"3 Stars",0,"Air conditioning,Interesting wine list,Wheelchair access","The kitchen quite literally takes centre stage at this impeccable restaurant, sitting in the middle of the stylish room and providing a stage for the chefs to prepare intricate, superbly crafted dishes. Top-notch local fish and shellfish underpins the cooking, with supreme skill evident in the refined balance between the delicate seafood flavours and some stronger components – the grilled scallop with sea buckthorn and pumpkin sauce is a perfect example. The menu has around 20 servings and every aspect unfolds masterfully thanks to the exceptional kitchen and service teams."
Maaemo,"Dronning Eufemias gate 23, Oslo, 0194, Norway","Oslo, Norway","€€€€","Modern Cuisine, Creative",10.7586363,59.9075293,+4722179969,https://guide.michelin.com/en/oslo-region/oslo/restaurant/maaemo-1194933,http://www.maaemo.no,"3 Stars",1,"Air conditioning","Time seems to stand still when you dine at this truly exceptional restaurant, such is its overwhelming quality. The unique dining experience begins with a drink in the cosy lounge before moving into a dramatic, high-ceilinged dining room with a theatrically lit open kitchen. A surprise seasonal tasting menu comprises a succession of expertly crafted, consistently memorable dishes that deliver sublime flavours and textures in superbly conceived combinations."
Taian,"1-21-2 Shimanouchi, Chuo-ku, Osaka, 542-0082, Japan","Osaka, Japan","¥¥¥",Japanese,135.507205,34.673353,+81661200790,https://guide.michelin.com/en/osaka-region/osaka/restaurant/taian,"","3 Stars",0,"Air conditioning,Counter dining","Cuisine that does not change does not improve. To advance the craft he learned at a ryotei, Hitoshi Takahata has brought it to a counter-style kappo. His omakase menu, for example, bends standard practice by letting guests choose grilled items. Grilled spareribs are prepared with soy sauce, honey and red wine, elevating this Japanese favourite. The calligraphed tablet is written by Takahata’s father; artwork is the handiwork of his daughter; the proprietress handles customer service. A restaurant supported by a family’s love."
Hyotei,"35 Nanzenji Kusagawacho, Sakyo-ku, Kyoto, 606-8437, Japan","Kyoto, Japan","¥¥¥¥",Japanese,135.786742,35.011355,+81757714116,https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/hyotei,http://hyotei.co.jp/,"3 Stars",0,"Air conditioning,Car park,Shoes must be removed","This traditional restaurant began its 450-year history as a teahouse on the approach to Nanzen-ji Temple. The premises have retained much of their character while accruing features from each passing era, and the same is true of the fare. Two generations have combined fluidity with constancy, layering gradual innovation on top of unchanging Hyotei tradition. Soup made with dried tuna instead of dried bonito was the innovation of Eiichi Takahashi, while tomato soy sauce with decorative sashimi of Akashi sea bream of current owner-chef Yoshihiro Takahashi."
HAJIME,"1-9-11 Edobori, Nishi-ku, Osaka, 550-0002, Japan","Osaka, Japan","¥¥¥¥",Innovative,135.496084,34.688612,+81664476688,https://guide.michelin.com/en/osaka-region/osaka/restaurant/hajime,http://www.hajime-artistes.com/,"3 Stars",0,"Air conditioning,Interesting wine list,Restaurant offering vegetarian menus","An artwork resembling a planet dominates the dining room. Look closely and the ‘planet’ contains overlapping images of cuisine, which gather together to form a picture of the Earth. ‘Dialogue with the Earth’ is, indeed, the theme of this restaurant. The experience of growing up amid the beauty of nature shaped the bold world view of Hajime Yoneda. The digitised recipes and detailed cuisine attest to his experience as a system engineer. Cuisine that draws inspiration from all Creation is imbued with love and respect for nature."
"Kikunoi Honten","459 Shimokawaracho, Higashiyama-ku, Kyoto, 605-0825, Japan","Kyoto, Japan","¥¥¥¥",Japanese,135.782079,35.001535,+81755610015,https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/kikunoi-honten,https://kikunoi.jp/,"3 Stars",0,"Air conditioning,Car park,Shoes must be removed","The elegant garden and well-appointed ceremonial space speak of a gracious atmosphere born of unbroken tradition. The fare presented encapsulates the creed of ‘kirei sabi’, or cheerful beauty within a classic form. That which does not change, changes continually. Innovation that gives birth to tradition is the human science of Chef Yoshihiro Murata. ‘The traditional Japanese restaurant is the art gallery of the Japanese aesthetic’, Murata observes, and the aesthetic of Kyoto is elegant simplicity."
"Isshisoden Nakamura","136 Matsushitacho, Nakagyo-ku, Kyoto, 604-8093, Japan","Kyoto, Japan","¥¥¥¥",Japanese,135.765083,35.010397,+81752215511,https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/isshisoden-nakamura,http://www.kyoryori-nakamura.com/,"3 Stars",0,"Air conditioning,Shoes must be removed","Isshisoden Nakamura started out as a business hauling fish from the Wakasa region to Kyoto. For Motokazu Nakamura, the sixth-generation owner-chef, his restaurant’s name does not refer to a secret cooking technique passed down to a single heir, but rather to the spirit of treasuring every meeting. For the shiromiso zoni, the miso is dissolved in water alone.  The remains of the sweet-grilled tilefish are turned into soup, not letting any flavour escape. The water bubbling up from the tiny inner garden is behind this restaurant’s best-known dishes."
Mizai,"613 Maruyamacho, Higashiyama-ku, Kyoto, 605-0071, Japan","Kyoto, Japan","¥¥¥¥",Japanese,135.782364,35.002993,+81755513310,https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/mizai,https://mizai.jp/,"3 Stars",0,"Air conditioning,Cash only,Counter dining,Notable sake list","‘Mizai’ means ‘not there yet’, the creed by which owner-chef Hitoshi Ishihara lives. All guests are served at the same time under the concept of ‘building together’ to facilitate communication. Rice is served freshly steamed rice and scorched to signify thanksgiving to Japan for her bounty. The matcha is made with holy water from Yasaka Shrine. Taking to heart the counsel of 16C tea master Sen-no-Rikyu, ‘arrive before the appointed time’, Ishihara is already waiting for customers at 6:00 p.m."
"Gion Sasaki","566-27 Komatsucho, Higashiyama-ku, Kyoto, 605-0811, Japan","Kyoto, Japan","¥¥¥¥",Japanese,135.775049,34.998881,+81755515000,https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/gion-sasaki,http://gionsasaki.com/,"3 Stars",0,"Air conditioning,Counter dining,Shoes must be removed","Gion Sasaki is tackling new challenges, where ‘everyone’s a star’. Staff members work together to propose menu items in a dialogue between younger members, who hold the future of cuisine in their hands, and Hiroshi Sasaki with his wealth of experience. The practice inspires the younger cooks while bringing everyone together. The central presence of a grill reminds staff of the origins of cooking. Sasaki continues to drive a revolution in Kyoto cuisine."
"Kashiwaya Osaka Senriyama","2-5-18 Senriyamanishi, Suita, Osaka, 565-0851, Japan","Osaka, Japan","¥¥¥",Japanese,135.501289,34.770287,+81663862234,https://guide.michelin.com/en/osaka-region/osaka/restaurant/kashiwaya-osaka-senriyama,https://jp-kashiwaya.com/,"3 Stars",1,"Air conditioning,Interesting wine list,Notable sake list,Shoes must be removed","The interior, ceremonial space and dining-ware remind one of a tea ceremony room. The menu is based on the traditional division of the year into 24 seasons, underscoring their ephemeral nature. Owner-chef Hideaki Matsuo follows the calendar and respects historical events and lore, passing Japanese culture to the next generation. He is always creative and ready to experiment with new flavours. The auspiciously named ‘Dragon Cloud Grill’ was inspired by French soufflé. A modern sensibility is on generous display."
ES:SENZ,"Mietenkamer Straße 65, Grassau, 83224, Germany","Grassau, Germany","€€€€","Creative, Modern Cuisine",12.4656176,47.7856302,+498641401609,https://guide.michelin.com/en/bayern/grassau/restaurant/es-senz,https://www.das-achental.com/,"3 Stars",0,"Air conditioning,Car park,Interesting wine list","Here in the restaurant of Das Achental hotel, Edip Sigl impresses diners with his distinctive culinary style. His dishes are modern, sophisticated and packed with flavour and intense contrasts. However, they always remain wonderfully balanced. For example, the fantastic Mieral pigeon is given a nice barbecued note with a roasted finish and served with a harmonious onion and beetroot filling in a crispy baked tart and slices of intense-flavoured Périgord truffle. Diners choose from two set menus comprising six or eight courses dubbed ""Chiemgau pur"" and ""Chiemgau goes around the world"". As the names suggest, the first is dedicated entirely to premium produce from the Chiemgau region, while the second combines local and international ingredients. Be it Balfego tuna, brown trout or lamb, the quality of the produce is outstanding! The sophistication of the cuisine is matched by the courteous waitstaff, who also provide sound wine recommendations. Tip: Ask for a table by the large window front in the chic dining space for a view of the garden."
"Waldhotel Sonnora","Auf'm Eichelfeld 1, Dreis, 54518, Germany","Dreis, Germany","€€€€","Classic French",6.8109342,49.9377323,+49657898220,https://guide.michelin.com/en/rheinland-pfalz/dreis/restaurant/waldhotel-sonnora,https://www.hotel-sonnora.de/,"3 Stars",0,"Car park,Garden or park,Interesting wine list","This legendary fine dining establishment has an exemplary pair of hosts in husband-and-wife team Magdalena and Clemens Rambichler. In the kitchen, the chef cultivates the house specialities, such as ""Kleine Torte"" of beef tenderloin tartare with N25 caviar, but also showcases his own style. Top-notch ingredients are precisely prepared, down to the last detail, without the importance of flavour ever being lost from sight. This starts with the amuse-bouches (a veritable explosion of flavours!), followed, for example, by the excellent firm-fleshed, charcoal-grilled turbot from the Vendeé – which has a wonderful smoky aroma – harmoniously combined with terrific fresh black morels, fine white asparagus and a very elegant PX sherry note in the classic beurre noisette. The set menu features two intriguing wine pairings. You can also dine à la carte. Magdalena Rambichler is always on hand, cordial and extremely competent as she heads up the service team. The decor is stylish, elegant and discreetly modern. The inviting individually designed guestrooms are equally fabulous."
"The Table Kevin Fehling","Shanghaiallee 15, Hamburg, 20457, Germany","Hamburg, Germany","€€€€","Creative, International",10.0028597,53.5426398,+494022867422,https://guide.michelin.com/en/hamburg-region/hamburg/restaurant/the-table-kevin-fehling,https://thetable-hamburg.de/,"3 Stars",0,"Air conditioning,Counter dining","In his set menu (dubbed ""Das Tor zur Welt"" – ""Gateway to the World""), Kevin Fehling makes use of a wide variety of ingredients – Asian, Middle Eastern and South American – and also likes to combine these, crossover style, with classic French-based cuisine. An array of wonderfully complementary flavours turn creations such as ""The Sea – poached oyster, hamachi, sea urchin & horseradish"" or ""Ballotine of quail, aubergine, kumquat, argan oil cream & saffron broth"" into characteristic dishes that shine in terms of the quality of the produce, precision, and depth of flavour. In the stylish, relaxed atmosphere at the long and winding table after which the restaurant is named, you can see the action unfold in the kitchen – everything runs like a well-oiled machine or an orchestra! Restaurant manager David Eitel, part of the charming, attentive service team, who interact with guests in a laid-back manner, should also be mentioned."
Aqua,"Parkstraße 1, Wolfsburg, 38440, Germany","Wolfsburg, Germany","€€€€","Creative, Modern Cuisine",10.789999,52.4331722,+495361606056,https://guide.michelin.com/en/niedersachsen/wolfsburg/restaurant/aqua79029,http://www.restaurant-aqua.com,"3 Stars",0,"Air conditioning,Car park,Interesting wine list,Valet parking,Wheelchair access","The Ritz-Carlton is located in the heart of Volkswagen's fascinating Autostadt, and here – somewhat hidden on the ground floor at the end of a corridor – is a truly worthwhile destination for any gourmet: Aqua. The decor is elegant and sleek, the front-of-house team is professional and at the same time pleasantly informal and friendly – there's no need to be intimidated by three-star cuisine here! The dishes are impressively innovative, occasionally surprising and feature remarkably bold combinations. It's not just ""Sicher char & roasted beechnut seeds, avocado & cucumber"" or "" lobster & braised pork chin, carrot, crustacean mayonnaise"" that whet the appetite. Sven Elverfeld always succeeds in presenting complex dishes with ease. To sum up: this place is all about eating, experiencing and enjoying!"
JAN,"Luisenstraße 27, Munich, 80333, Germany","Munich, Germany","€€€€","Creative, Modern Cuisine",11.5629878,48.1447975,+498923708658,https://guide.michelin.com/en/bayern/mnchen/restaurant/jan-1204321,https://jan-hartwig.com/,"3 Stars",0,"","Quality of the highest standard is guaranteed at Jan Hartwig's own restaurant. Here, he creates a set menu comprising seven courses, expandable with ""signature dishes"". His culinary creations are precise and carefully considered down to the last detail; each has its own identity and features wonderful – occasionally surprising – combinations. The premium red mullet served in a yoghurt cream with garlic and black and green stripe of plankton is mind-blowing both in terms of flavour and appearance. An elegant crustacean foam provides the perfect finishing touch. The set menu is available for lunch and dinner – it's also possible to have a shortened version at lunchtime. The design is sleek, chic and upscale; depending on where you sit, you can look through the open door or open pass into the kitchen, dubbed the Labor der Liebe (""Laboratory of Love""). The atmosphere is harmonious, and the service team led by maître d' Kilian Skalet is dedicated and professional. The impressive wine list includes specialities such as magnums, jeroboams and special vintages."
"Restaurant Bareiss","Hermine-Bareiss-Weg 1, Baiersbronn, 72270, Germany","Baiersbronn, Germany","€€€€","Classic French",8.3269876,48.5205845,+497442470,https://guide.michelin.com/en/baden-wurttemberg/baiersbronn/restaurant/restaurant-bareiss,https://www.bareiss.com/,"3 Stars",0,"Air conditioning,Car park,Interesting wine list,Restaurant offering vegetarian menus,Wheelchair access","Claus-Peter Lumpp is truly a master of his trade! Since March 1992, the native Swabian has been head chef at the Bareiss fine dining restaurant and is, so to speak, part of the furniture. His cuisine is still classically French in style, but he also incorporates modern elements. He combines, for example, top fresh and tender roasted langostino with pumpkin in the form of jelly, fine slices and puree as well as a crustacean sauce with tremendous strength and flavour expression, refined with a bit of ginger. The wonderful cheese trolley deserves a mention, and the trolley of sweets and chocolates is equally enticing. Then there is the refined atmosphere, which is in no small part down to the excellent service provided under the tutelage of Thomas Brandt, a maître d' of the old school. Sommelier Teoman Mezda provides excellent wine recommendations. It's a bonus that you can also enjoy this at lunchtime!"
Rutz,"Chausseestraße 8, Berlin, 10115, Germany","Berlin, Germany","€€€€","Modern Cuisine, Creative",13.3860867,52.5283507,+493024628760,https://guide.michelin.com/en/berlin-region/berlin/restaurant/rutz,https://rutz-restaurant.de/,"3 Stars",1,"Air conditioning,Interesting wine list,Terrace","Let yourself be taken on a ""journey"" courtesy of Marco Müller's ""Inspiration"" tasting menu, over the course of which he applies his own clear culinary style to skilfully build a narrative arc. The pleasant team will explain the ideas behind the dishes in a relaxed and informal way and are happy to answer questions. The menu features terrific ingredients such as Wagyu beef from Germany, the distinctive flavour of which is in a class of its own, and squid (an invasive species from the North Sea). From rabbit tartare or dry-aged carp, some of the dishes here are sure to surprise even experienced foodies at times – in an absolutely positive way! It is remarkable how the best products are showcased here while retaining their authenticity - everything looks so effortless and yet is full of complexity. In summer, the best place to sit is on the small but inviting terrace. If you are in Berlin, don't miss the opportunity to try this cuisine!"
"Victor's Fine Dining by christian bau","Schlossstraße 27, Perl, 66706, Germany","Perl, Germany","€€€€",Creative,6.3872109,49.5351732,+49686679118,https://guide.michelin.com/en/saarland/perl/restaurant/victor-s-fine-dining-by-christian-bau,https://www.victors-fine-dining.de/,"3 Stars",0,"Air conditioning,Car park,Interesting wine list,Notable sake list","Few chefs could bring together the flavours of French and Japanese cuisine more distinctively than Christian Bau. Elements of both styles can be found in his ""Paris-Tokyo"" set menu, a fine example being his mackerel with caviar, buttermilk, yuzu kosho and chives, served on an elaborate Japanese waffle. His meticulous craftsmanship is second to none, as is the exceptional quality of the produce. He skilfully incorporates fresh ideas while remaining true to his own unique style. His dishes are perfectly balanced and full of finesse, but most of all they are truly original. There is also a range of ""specials"" with which to supplement the set menu. Charming and professional service."
